strike,2021-05-21,2021-06-18,2021-06-30,2021-09-17,2021-09-30
100.0,1.927734375,1.2109375,1.103515625,0.84375,0.810546875
105.0,1.927734375,1.2109375,1.103515625,0.84375,0.810546875
110.0,1.927734375,1.2109375,1.103515625,0.84375,0.810546875
115.0,1.927734375,1.2109375,1.103515625,0.78125,0.748046875
120.0,1.927734375,1.2109375,1.103515625,0.763671875,0.810546875
121.0,1.927734375,1.2109375,1.3525390625,0.814453125,0.79453125
122.0,1.927734375,1.2109375,1.365234375,0.853515625,0.778515625
123.0,1.927734375,1.2109375,1.36328125,0.8528645833333334,0.7625
124.0,1.927734375,1.2109375,1.2451171875,0.8522135416666666,0.746484375
125.0,1.927734375,1.2109375,1.26953125,0.8515625,0.73046875
126.0,1.927734375,1.2109375,1.2421875,0.83046875,0.7413504464285714
127.0,1.927734375,1.328125,1.38671875,0.809375,0.7522321428571429
128.0,1.927734375,1.373046875,1.5888671875,0.78828125,0.7631138392857143
129.0,1.927734375,1.548828125,1.4736328125,0.7671875,0.7739955357142857
130.0,1.927734375,1.197265625,1.1875,0.74609375,0.7848772321428571
131.0,1.9140625,1.357421875,1.1826171875,0.787890625,0.7957589285714286
132.0,1.900390625,1.5556640625,1.232421875,0.8296875,0.806640625
133.0,1.88671875,1.3515625,1.427734375,0.871484375,0.76904296875
134.0,1.873046875,1.271484375,1.22998046875,0.91328125,0.76953125
135.0,1.88671875,1.17578125,1.0322265625,0.955078125,0.7974609375
136.0,1.8859375,1.353515625,1.232421875,0.83837890625,0.825390625
137.0,1.88515625,1.578125,1.345703125,0.984375,0.8533203125
138.0,1.884375,1.388671875,1.3740234375,1.0068359375,0.88125
139.0,1.88359375,1.365234375,1.30859375,1.04541015625,0.9091796875
140.0,1.8828125,1.158203125,1.064453125,0.7216796875,0.8759765625
141.0,1.84765625,1.4375,1.0802734375,0.845703125,0.84296875
142.0,1.83984375,1.390625,1.09609375,0.7373046875,0.8099609375
143.0,1.83203125,1.158203125,1.1119140625,0.748046875,0.776953125
144.0,1.80859375,1.357421875,1.127734375,0.84619140625,0.7439453125
145.0,1.83984375,1.3470908717105263,1.1435546875,0.73828125,0.7109375
146.0,1.8416015625,1.3367598684210527,1.154296875,0.9404296875,0.760986328125
147.0,1.843359375,1.326428865131579,1.0419921875,0.828125,0.81103515625
148.0,1.8451171875,1.3160978618421053,1.234375,0.81768798828125,0.830322265625
149.0,1.846875,1.3057668585526316,1.20361328125,0.8072509765625,0.849609375
150.0,1.8486328125,1.295435855263158,1.056640625,0.79681396484375,0.85009765625
151.0,1.850390625,1.2851048519736843,1.3349609375,0.786376953125,0.823974609375
152.0,1.8521484375,1.2747738486842106,1.0126953125,0.77593994140625,0.7978515625
153.0,1.85390625,1.2644428453947367,1.3544921875,0.7655029296875,0.771728515625
154.0,1.8556640625,1.254111842105263,1.259765625,0.75506591796875,0.74560546875
155.0,1.857421875,1.2437808388157894,1.0322265625,0.74462890625,0.719482421875
156.0,1.83984375,1.2334498355263157,1.2265625,0.8173828125,0.693359375
157.0,1.85009765625,1.223118832236842,1.23095703125,0.95947265625,0.7420247395833334
158.0,1.8603515625,1.2127878289473684,1.0302734375,0.72216796875,0.7906901041666666
159.0,1.87060546875,1.2024568256578947,1.20703125,0.72119140625,0.83935546875
160.0,1.880859375,1.192125822368421,1.162109375,0.72021484375,0.76904296875
161.0,1.8859375,1.1817948190789473,1.1798502604166667,0.83447265625,0.8238932291666666
162.0,1.891015625,1.1714638157894737,1.1975911458333333,0.8642578125,0.8787434895833334
163.0,1.89609375,1.1611328125,1.21533203125,0.89404296875,0.93359375
164.0,1.901171875,1.5185546875,1.133544921875,0.808837890625,0.6884765625
165.0,1.90625,1.1728515625,1.0517578125,0.7236328125,0.81982421875
166.0,1.9076171875,1.4580078125,1.094140625,0.90576171875,0.888916015625
167.0,1.908984375,1.138671875,1.1365234375,0.9130859375,0.9580078125
168.0,1.9103515625,1.7021484375,1.17890625,0.9189453125,0.8756510416666666
169.0,1.91171875,1.509765625,1.2212890625,0.824462890625,0.7932942708333334
170.0,1.9130859375,1.1767578125,1.263671875,0.72998046875,0.7109375
171.0,1.91796875,1.22265625,1.3064453125,0.769775390625,0.7109375
172.0,1.9228515625,1.20556640625,1.34921875,0.8095703125,0.7109375
173.0,1.927734375,1.1884765625,1.3919921875,0.849365234375,0.7109375
174.0,1.9326171875,1.208984375,1.434765625,0.88916015625,0.7109375
175.0,1.9375,1.2294921875,1.4775390625,0.917236328125,0.7109375
176.0,1.9375,1.41015625,1.4945203993055556,0.9453125,0.7109375
177.0,1.9375,1.46142578125,1.5115017361111112,0.973388671875,0.7109375
178.0,1.9375,1.5126953125,1.5284830729166667,1.00146484375,0.7109375
179.0,1.9375,1.56396484375,1.5454644097222223,1.029541015625,0.7109375
180.0,1.9375,1.615234375,1.5624457465277777,1.0576171875,0.7109375
185.0,1.9375,1.75537109375,1.5794270833333333,1.0576171875,0.7109375
190.0,1.9375,1.8955078125,1.5964084201388888,1.0576171875,0.7109375
195.0,1.9375,1.69140625,1.6133897569444444,1.0576171875,0.7109375
200.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
205.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
210.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
215.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
220.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
225.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
230.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
235.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
240.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
245.0,1.9375,1.9755859375,1.63037109375,1.0576171875,0.7109375
